time,open,high,low,close,volume,funding_rate_8h,funding_rate_24h_sum,funding_rate_3d_sum,funding_zscore,funding_extreme_long,funding_extreme_short,taker_buy_vol,taker_sell_vol,volume_delta,buy_ratio,buy_ratio_ma10,buy_ratio_zscore,cum_delta_3bar,delta_ma,n_trades,delta_price_agree,delta_price_diverge,funding_reversal_long,funding_reversal_short
2023-02-11 08:00:00+00:00,1520.8,1526.8,1515.0,1520.16,70128.8231,,,,,,,,,,,,,,,,1,0,0,0
2023-02-11 12:00:00+00:00,1520.16,1526.71,1515.0,1522.83,47354.6365,,,,,,,,,,,,,,,,0,1,0,0
2023-02-11 16:00:00+00:00,1522.83,1522.99,1505.0,1518.58,44555.4125,,,,,,,,,,,,,,,,1,0,0,0
2023-02-11 20:00:00+00:00,1518.58,1543.0,1516.65,1538.51,54171.0066,,,,,,,,,,,,,,,,0,1,0,0
2023-02-12 00:00:00+00:00,1538.5,1539.27,1530.05,1531.15,28969.1358,,,,,,,,,,,,,,,,1,0,0,0
2023-02-12 04:00:00+00:00,1531.15,1534.56,1528.97,1530.83,19762.6742,,,,,,,,,,,,,,,,1,0,0,0
2023-02-12 08:00:00+00:00,1530.84,1540.06,1530.83,1533.48,30285.5587,,,,,,,,,,,,,,,,0,1,0,0
2023-02-12 12:00:00+00:00,1533.47,1541.0,1521.12,1536.09,57057.7624,,,,,,,,,,,,,,,,0,1,0,0
2023-02-12 16:00:00+00:00,1536.09,1548.02,1534.23,1539.23,54560.353,,,,,,,,,,,,,,,,0,1,0,0
2023-02-12 20:00:00+00:00,1539.23,1541.96,1493.08,1514.83,96122.8899,,,,,,,,,,,,,,,,1,0,0,0
2023-02-13 00:00:00+00:00,1514.82,1524.62,1496.67,1516.81,83792.8908,,,,,,,,,,,,,,,,0,1,0,0
2023-02-13 04:00:00+00:00,1516.82,1526.1,1516.02,1522.39,47546.0944,,,,,,,,,,,,,,,,0,1,0,0
2023-02-13 08:00:00+00:00,1522.39,1522.83,1466.0,1486.07,234692.6663,,,,,,,,,,,,,,,,1,0,0,0
2023-02-13 12:00:00+00:00,1486.07,1491.89,1475.4,1475.71,99489.7265,,,,,,,,,,,,,,,,1,0,0,0
2023-02-13 16:00:00+00:00,1475.71,1493.91,1461.93,1490.78,112485.4779,,,,,,,,,,,,,,,,0,1,0,0
2023-02-13 20:00:00+00:00,1490.78,1510.43,1482.18,1505.24,65145.5345,,,,,,,,,,,,,,,,0,1,0,0
2023-02-14 00:00:00+00:00,1505.25,1508.72,1494.09,1498.23,49719.7263,,,,,,,,,,,,,,,,1,0,0,0
2023-02-14 04:00:00+00:00,1498.24,1507.62,1496.81,1506.0,40866.6507,,,,,,,,,,,,,,,,0,1,0,0
2023-02-14 08:00:00+00:00,1506.01,1519.82,1497.09,1507.7,59730.9177,,,,,,,,,,,,,,,,0,1,0,0
2023-02-14 12:00:00+00:00,1507.7,1569.0,1482.66,1544.83,349248.2929,,,,,,,,,,,,,,,,0,1,0,0
2023-02-14 16:00:00+00:00,1544.84,1564.69,1534.02,1560.31,112254.1388,,,,,,,,,,,,,,,,0,1,0,0
2023-02-14 20:00:00+00:00,1560.31,1564.07,1549.3,1555.71,57144.6504,,,,,,,,,,,,,,,,1,0,0,0
2023-02-15 00:00:00+00:00,1555.7,1557.43,1542.55,1549.22,45473.5936,,,,,,,,,,,,,,,,1,0,0,0
2023-02-15 04:00:00+00:00,1549.22,1552.09,1544.65,1547.56,33276.874,,,,,,,,,,,,,,,,1,0,0,0
2023-02-15 08:00:00+00:00,1547.56,1580.0,1544.5,1572.26,72855.7368,,,,,,,,,,,,,,,,0,1,0,0
2023-02-15 12:00:00+00:00,1572.26,1593.67,1566.86,1579.5,165174.8506,,,,,,,,,,,,,,,,0,1,0,0
2023-02-15 16:00:00+00:00,1579.5,1629.32,1573.47,1628.54,118580.7072,,,,,,,,,,,,,,,,0,1,0,0
2023-02-15 20:00:00+00:00,1628.54,1680.0,1624.25,1674.92,145846.0964,,,,,,,,,,,,,,,,0,1,0,0
2023-02-16 00:00:00+00:00,1674.92,1712.24,1672.53,1691.42,143365.1322,,,,,,,,,,,,,,,,0,1,0,0
2023-02-16 04:00:00+00:00,1691.41,1697.51,1675.0,1681.89,98041.4638,,,,,,,,,,,,,,,,1,0,0,0
2023-02-16 08:00:00+00:00,1681.9,1692.62,1678.25,1682.82,71321.679,,,,,,,,,,,,,,,,0,1,0,0
2023-02-16 12:00:00+00:00,1682.82,1728.69,1665.24,1724.14,181737.0678,,,,,,,,,,,,,,,,0,1,0,0
2023-02-16 16:00:00+00:00,1724.14,1742.97,1686.76,1710.85,171997.9076,,,,,,,,,,,,,,,,1,0,0,0
2023-02-16 20:00:00+00:00,1710.85,1711.11,1633.72,1637.84,166260.4227,,,,,,,,,,,,,,,,1,0,0,0
2023-02-17 00:00:00+00:00,1637.83,1670.05,1630.51,1663.77,94217.8133,,,,,,,,,,,,,,,,0,1,0,0
2023-02-17 04:00:00+00:00,1663.77,1665.46,1651.67,1653.45,65273.4116,,,,,,,,,,,,,,,,1,0,0,0
2023-02-17 08:00:00+00:00,1653.46,1674.75,1648.4,1666.2,66844.4889,,,,,,,,,,,,,,,,0,1,0,0
2023-02-17 12:00:00+00:00,1666.2,1683.55,1646.09,1673.11,127730.5885,,,,,,,,,,,,,,,,0,1,0,0
2023-02-17 16:00:00+00:00,1673.11,1709.25,1662.27,1706.03,125807.6426,,,,,,,,,,,,,,,,0,1,0,0
2023-02-17 20:00:00+00:00,1706.04,1722.0,1669.72,1693.87,100060.7181,,,,,,,,,,,,,,,,1,0,0,0
2023-02-18 00:00:00+00:00,1693.81,1704.46,1692.14,1699.46,57665.5895,,,,,,,,,,,,,,,,0,1,0,0
2023-02-18 04:00:00+00:00,1699.45,1703.99,1686.11,1690.72,45228.2181,,,,,,,,,,,,,,,,1,0,0,0
2023-02-18 08:00:00+00:00,1690.71,1695.58,1685.69,1691.47,33369.4325,,,,,,,,,,,,,,,,0,1,0,0
2023-02-18 12:00:00+00:00,1691.47,1699.49,1686.64,1695.5,43871.7356,,,,,,,,,,,,,,,,0,1,0,0
2023-02-18 16:00:00+00:00,1695.5,1713.13,1682.8,1687.85,60728.9081,,,,,,,,,,,,,,,,1,0,0,0
2023-02-18 20:00:00+00:00,1687.85,1693.71,1679.77,1691.62,26441.8975,,,,,,,,,,,,,,,,0,1,0,0
2023-02-19 00:00:00+00:00,1691.62,1700.62,1689.5,1695.42,36297.5119,,,,,,,,,,,,,,,,0,1,0,0
2023-02-19 04:00:00+00:00,1695.42,1709.63,1692.19,1693.15,62303.3671,,,,,,,,,,,,,,,,1,0,0,0
2023-02-19 08:00:00+00:00,1693.15,1700.85,1690.8,1695.36,31584.3172,,,,,,,,,,,,,,,,0,1,0,0
2023-02-19 12:00:00+00:00,1695.36,1723.85,1694.42,1711.3,85465.4661,,,,,,,,,,,,,,,,0,1,0,0
2023-02-19 16:00:00+00:00,1711.3,1726.59,1675.96,1684.8,116322.6792,,,,,,,,,,,,,,,,1,0,0,0
2023-02-19 20:00:00+00:00,1684.8,1688.85,1666.14,1679.75,69049.7062,,,,,,,,,,,,,,,,1,0,0,0
2023-02-20 00:00:00+00:00,1679.74,1687.02,1650.56,1684.38,98018.5403,,,,,,,,,,,,,,,,0,1,0,0
2023-02-20 04:00:00+00:00,1684.39,1698.34,1683.64,1695.79,54668.5251,,,,,,,,,,,,,,,,0,1,0,0
2023-02-20 08:00:00+00:00,1695.79,1719.89,1688.5,1713.77,99450.4244,,,,,,,,,,,,,,,,0,1,0,0
2023-02-20 12:00:00+00:00,1713.78,1716.53,1696.97,1707.23,83845.8682,,,,,,,,,,,,,,,,1,0,0,0
2023-02-20 16:00:00+00:00,1707.24,1711.22,1684.32,1709.76,78013.3102,,,,,,,,,,,,,,,,0,1,0,0
2023-02-20 20:00:00+00:00,1709.77,1711.99,1691.77,1703.27,37318.1653,,,,,,,,,,,,,,,,1,0,0,0
2023-02-21 00:00:00+00:00,1703.27,1716.66,1698.06,1703.03,72408.4749,,,,,,,,,,,,,,,,1,0,0,0
2023-02-21 04:00:00+00:00,1703.04,1709.78,1695.01,1704.05,51309.7578,,,,,,,,,,,,,,,,0,1,0,0
2023-02-21 08:00:00+00:00,1704.05,1715.0,1666.17,1669.5,139354.5322,,,,,,,,,,,,,,,,1,0,0,0
2023-02-21 12:00:00+00:00,1669.51,1684.97,1658.74,1671.97,99854.0969,,,,,,,,,,,,,,,,0,1,0,0
